  naif_ite;         10;      10000;       1.067e+17;           4.632;           4.643;           4.634;           0.002 ( 0.047 %)
  naif_ite;         10;      10000;       1.189e+23;           4.632;           4.646;           4.634;           0.002 ( 0.053 %)
  naif_ite;         10;      10000;       1.285e+28;           4.632;           4.645;           4.634;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       1.291e+16;           4.631;           4.642;           4.634;           0.002 ( 0.048 %)
  naif_ite;         10;      10000;       1.748e+06;           4.631;           4.646;           4.634;           0.003 ( 0.058 %)
  naif_ite;         10;      10000;       2.121e+11;           4.631;           4.644;           4.634;           0.002 ( 0.052 %)
  naif_ite;         10;      10000;       2.810e+12;           4.631;           4.644;           4.634;           0.002 ( 0.051 %)
  naif_ite;         10;      10000;       2.903e+13;           4.632;           4.641;           4.634;           0.002 ( 0.041 %)
  naif_ite;         10;      10000;       3.333e+07;           4.631;           4.647;           4.634;           0.004 ( 0.086 %)
  naif_ite;         10;      10000;       3.775e+14;           4.632;           4.643;           4.634;           0.002 ( 0.045 %)
  naif_ite;         10;      10000;       3.789e+13;           4.631;           4.644;           4.634;           0.002 ( 0.054 %)
  naif_ite;         10;      10000;       3.837e+09;           4.632;           4.644;           4.634;           0.002 ( 0.047 %)
  naif_ite;         10;      10000;       4.727e+11;           4.631;           4.641;           4.634;           0.002 ( 0.043 %)
  naif_ite;         10;      10000;       4.755e+10;           4.632;           4.644;           4.634;           0.002 ( 0.049 %)
  naif_ite;         10;      10000;       6.866e+10;           4.632;           4.640;           4.634;           0.002 ( 0.038 %)
  naif_ite;         10;      10000;       9.497e+24;           4.632;           4.643;           4.634;           0.002 ( 0.046 %)
  naif_ite;         10;      10000;       2.916e+07;           4.633;           4.644;           4.635;           0.002 ( 0.047 %)
  naif_ite;         10;      10000;       3.743e+13;           4.631;           4.665;           4.635;           0.007 ( 0.142 %)
  naif_ite;         10;      10000;       4.687e+23;           4.632;           4.649;           4.635;           0.003 ( 0.063 %)
  naif_ite;         10;      10000;       5.937e+16;           4.631;           4.646;           4.635;           0.003 ( 0.061 %)
  naif_ite;         10;      10000;       4.163e+20;           4.632;           4.703;           4.636;           0.012 ( 0.263 %)
  naif_ite;         10;      10000;       9.446e+15;           4.631;           4.730;           4.636;           0.017 ( 0.367 %)
  naif_ite;         10;      10000;       3.433e+17;           4.632;           4.684;           4.637;           0.009 ( 0.202 %)
  naif_ite;         10;      10000;       1.025e+23;           4.631;           4.911;           4.642;           0.048 ( 1.039 %)
  naif_ite;         10;      10000;       2.091e+16;           4.631;           4.900;           4.642;           0.046 ( 1.001 %)
  naif_ite;         10;      10000;       1.455e+15;           4.631;           5.020;           4.647;           0.067 ( 1.448 %)
  naif_ite;         10;      10000;       2.883e+26;           4.631;           5.065;           4.647;           0.075 ( 1.618 %)
  naif_ite;         10;      10000;       4.913e+15;           4.631;           4.988;           4.649;           0.067 ( 1.431 %)
  naif_ite;         10;      10000;       2.366e+11;           4.631;           5.317;           4.655;           0.119 ( 2.557 %)
  naif_ite;         10;      10000;       1.534e+10;           4.631;           5.606;           4.663;           0.169 ( 3.629 %)
  naif_ite;         10;      10000;       1.500e+14;           4.631;           5.793;           4.668;           0.202 ( 4.325 %)
  naif_ite;         10;      10000;       1.579e+16;           4.631;           5.793;           4.668;           0.202 ( 4.324 %)
  naif_ite;         10;      10000;       3.616e+12;           4.631;           5.790;           4.668;           0.201 ( 4.314 %)
  naif_ite;         10;      10000;       5.401e+16;           4.631;           5.790;           4.668;           0.201 ( 4.315 %)
