     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.320e+14;          32.982;          48.629;          37.138;           4.734 (12.746 %)
  naif_ite;         10;      10000;       3.488e+14;           6.563;          11.253;           7.084;           1.110 (15.664 %)
  rapi_rec;         10;      10000;       1.491e+13;          16.971;          28.523;          19.379;           3.309 (17.074 %)
  rapi_ite;         10;      10000;       2.996e+12;           7.795;          18.182;          11.550;           3.152 (27.287 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.446e+15;          32.009;          41.702;          35.377;           2.634 ( 7.445 %)
  naif_ite;         10;      10000;       6.470e+15;           6.565;          13.653;           7.414;           1.732 (23.358 %)
  rapi_rec;         10;      10000;       1.384e+22;          16.977;          27.905;          20.093;           3.146 (15.658 %)
  rapi_ite;         10;      10000;       1.106e+08;           8.109;          16.562;          10.900;           2.043 (18.743 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.526e+19;          33.074;          43.894;          36.845;           2.875 ( 7.804 %)
  naif_ite;         10;      10000;       2.844e+11;           6.563;          12.458;           8.463;           1.305 (15.417 %)
  rapi_rec;         10;      10000;       3.011e+18;          17.233;          24.801;          19.803;           2.023 (10.217 %)
  rapi_ite;         10;      10000;       1.621e+14;           7.813;          18.165;          12.687;           2.819 (22.217 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.821e+12;          33.480;          45.298;          37.986;           2.885 ( 7.596 %)
  naif_ite;         10;      10000;       5.111e+16;           6.563;          13.193;           9.346;           1.519 (16.249 %)
  rapi_rec;         10;      10000;       7.840e+12;          17.050;          28.117;          21.646;           2.889 (13.346 %)
  rapi_ite;         10;      10000;       8.262e+14;           9.066;          17.931;          14.324;           2.220 (15.496 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.321e+10;          32.069;          45.205;          36.862;           3.289 ( 8.923 %)
  naif_ite;         10;      10000;       3.531e+16;           6.562;           9.197;           7.263;           0.856 (11.780 %)
  rapi_rec;         10;      10000;       1.450e+12;          17.105;          25.512;          20.047;           2.371 (11.827 %)
