     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  rapi_ite;         10;      10000;       7.344e+20;           7.333;           9.276;           7.395;           0.338 ( 4.568 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.496e+17;           6.179;          12.769;           7.261;           1.437 (19.795 %)
  naif_ite;         10;      10000;       4.581e+20;           5.406;          10.613;           6.344;           1.062 (16.746 %)
  rapi_rec;         10;      10000;       1.682e+22;          14.191;          15.824;          15.208;           0.310 ( 2.040 %)
  rapi_ite;         10;      10000;       1.884e+20;           7.325;          10.427;           7.695;           0.580 ( 7.535 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.082e+14;           6.177;           8.546;           6.547;           0.614 ( 9.377 %)
  naif_ite;         10;      10000;       5.362e+19;           5.405;          10.838;           6.575;           1.254 (19.066 %)
  rapi_rec;         10;      10000;       9.776e+13;          15.047;          18.372;          15.430;           0.587 ( 3.806 %)
  rapi_ite;         10;      10000;       1.649e+34;           7.334;          10.689;           8.027;           1.048 (13.055 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.791e+12;           6.180;          10.682;           6.867;           0.929 (13.533 %)
  naif_ite;         10;      10000;       2.995e+10;           5.407;           9.648;           6.243;           0.899 (14.395 %)
  rapi_rec;         10;      10000;       1.136e+18;          15.046;          21.128;          16.364;           1.812 (11.072 %)
  rapi_ite;         10;      10000;       1.710e+18;           7.334;          14.457;          10.132;           1.815 (17.911 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.238e+12;           6.179;           9.087;           6.608;           0.710 (10.750 %)
  naif_ite;         10;      10000;       2.380e+20;           5.792;          10.346;           6.217;           0.884 (14.223 %)
  rapi_rec;         10;      10000;       5.267e+10;          13.501;          24.213;          16.965;           2.803 (16.523 %)
  rapi_ite;         10;      10000;       5.633e+12;           7.335;          12.277;           7.546;           0.894 (11.846 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
