           0.513 ( 0.898 %)	           0.664 ( 1.973 %)	           0.396 ( 1.176 %)	           0.426 ( 1.326 %)	           0.336 ( 5.371 %)
           0.919 ( 1.605 %)	           0.447 ( 1.330 %)	           2.320 ( 6.714 %)	       17407.780 (-580.605 %)	           1.061 (15.544 %)
           0.524 ( 0.914 %)	           0.543 ( 1.613 %)	           0.885 ( 2.616 %)	           0.451 ( 1.404 %)	           0.598 ( 9.512 %)
           0.521 ( 0.916 %)	           0.394 ( 1.172 %)	           1.362 ( 4.003 %)	           0.425 ( 1.324 %)	           0.004 ( 0.066 %)
           1.387 ( 2.423 %)	           0.805 ( 2.388 %)	           1.210 ( 3.566 %)	           0.480 ( 1.495 %)	           0.004 ( 0.065 %)
       17407.815 (-585.523 %)	           0.722 ( 2.145 %)	           0.472 ( 1.404 %)	           0.697 ( 2.169 %)	           0.004 ( 0.072 %)
           0.493 ( 0.860 %)	           0.403 ( 1.197 %)	           1.084 ( 3.205 %)	           0.511 ( 1.591 %)	           0.006 ( 0.090 %)
           0.493 ( 0.860 %)	           1.296 ( 3.834 %)	           0.408 ( 1.213 %)	           0.675 ( 2.101 %)	           0.004 ( 0.062 %)
           1.436 ( 2.501 %)	           0.436 ( 1.297 %)	           0.447 ( 1.329 %)	           0.485 ( 1.509 %)	           0.006 ( 0.103 %)
           0.538 ( 0.941 %)	           0.496 ( 1.474 %)	       17407.272 (-580.905 %)	           0.516 ( 1.607 %)	           0.004 ( 0.074 %)
