           3.993 ( 7.402 %)	       17407.986 (-581.550 %)	           3.803 (10.259 %)	           6.261 (16.974 %)	           2.383 (22.736 %)
          11.655 (18.585 %)	           3.909 (11.000 %)	           3.793 (10.673 %)	           0.759 ( 2.421 %)	           0.006 ( 0.090 %)
           3.813 ( 6.903 %)	           1.377 ( 4.007 %)	           3.003 ( 8.401 %)	           2.802 ( 8.695 %)	           1.766 (23.198 %)
           9.320 (15.034 %)	           9.698 (24.443 %)	           3.295 ( 9.064 %)	           2.907 ( 8.915 %)	           1.281 (19.640 %)
           5.913 (10.604 %)	           7.794 (20.459 %)	           3.792 (10.427 %)	           3.125 ( 9.780 %)	           0.656 (10.916 %)
           3.530 ( 6.413 %)	           6.284 (16.619 %)	           4.507 (12.104 %)	           7.216 (17.442 %)	           0.694 (11.105 %)
           8.840 (14.819 %)	           7.155 (19.377 %)	           5.778 (15.567 %)	           6.340 (14.767 %)	           1.652 (18.136 %)
           4.266 ( 7.739 %)	           3.967 (10.795 %)	           4.491 (12.470 %)	           5.418 (12.064 %)	           1.249 (19.888 %)
           5.400 ( 9.565 %)	           1.929 ( 5.414 %)	           3.727 (10.077 %)	           5.651 (14.407 %)	           0.941 (14.697 %)
           6.358 (11.159 %)	           5.015 (13.963 %)	           4.540 (12.105 %)	           2.808 ( 8.529 %)	           0.583 ( 9.225 %)
