           0.030 ( 0.214 %)	           0.335 ( 4.492 %)	           2.379 (26.921 %)	           0.001 ( 0.022 %)	           0.064 ( 0.869 %)
           0.243 ( 1.731 %)	           0.304 ( 4.258 %)	           0.767 ( 9.368 %)	           0.383 ( 5.266 %)	           0.049 ( 0.667 %)
           0.084 ( 0.599 %)	           0.096 ( 1.379 %)	           0.509 ( 6.519 %)	           0.271 ( 3.568 %)	           0.063 ( 0.855 %)
           0.229 ( 1.634 %)	           0.017 ( 0.244 %)	           0.072 ( 0.934 %)	           0.016 ( 0.226 %)	           0.051 ( 0.694 %)
           0.010 ( 0.072 %)	           0.154 ( 2.161 %)	           2.971 (32.522 %)	           0.002 ( 0.023 %)	           0.059 ( 0.797 %)
           0.227 ( 1.620 %)	           0.188 ( 2.619 %)	           0.218 ( 2.749 %)	           0.002 ( 0.034 %)	           0.055 ( 0.743 %)
           0.008 ( 0.059 %)	           1.808 (22.835 %)	           0.202 ( 2.450 %)	           0.278 ( 3.937 %)	           0.062 ( 0.846 %)
           0.007 ( 0.052 %)	           0.365 ( 4.992 %)	           0.343 ( 4.119 %)	           0.186 ( 2.660 %)	           0.061 ( 0.826 %)
           0.006 ( 0.044 %)	           0.067 ( 0.963 %)	           2.601 (28.843 %)	           0.187 ( 2.670 %)	           0.060 ( 0.815 %)
           0.006 ( 0.046 %)	           0.188 ( 2.620 %)	           0.104 ( 1.338 %)	           0.148 ( 2.123 %)	           0.048 ( 0.659 %)
           0.228 ( 1.631 %)	           0.356 ( 4.949 %)	           0.089 ( 1.098 %)	           0.001 ( 0.020 %)	           0.063 ( 0.860 %)
           0.007 ( 0.046 %)	           0.069 ( 0.995 %)	           0.330 ( 4.040 %)	           0.373 ( 5.132 %)	           0.061 ( 0.837 %)
           0.011 ( 0.075 %)	           0.195 ( 2.725 %)	           2.530 (27.413 %)	           0.134 ( 1.919 %)	           0.656 ( 8.794 %)
           0.007 ( 0.048 %)	           0.195 ( 2.737 %)	           0.200 ( 2.420 %)	           0.134 ( 1.926 %)	           0.002 ( 0.027 %)
           0.006 ( 0.042 %)	           0.151 ( 2.151 %)	           0.002 ( 0.023 %)	           0.068 ( 0.981 %)	           0.064 ( 0.872 %)
           0.022 ( 0.156 %)	           0.095 ( 1.358 %)	           0.331 ( 4.082 %)	           0.267 ( 3.516 %)	           0.060 ( 0.819 %)
