           2.594 ( 9.081 %)	           0.032 ( 0.484 %)	           0.047 ( 1.075 %)	           0.727 (15.136 %)	           2.043 (32.133 %)
           2.445 ( 9.019 %)	           1.615 (19.950 %)	           2.577 (34.222 %)	           0.567 (12.086 %)	           2.078 (30.906 %)
           1.593 ( 5.937 %)	           1.915 (22.751 %)	           0.272 ( 6.099 %)	           0.169 ( 3.949 %)	           1.226 (22.080 %)
           0.746 ( 2.819 %)	           0.006 ( 0.095 %)	           0.486 (10.481 %)	           1.780 (31.427 %)	           1.170 (20.326 %)
           7.911 (20.075 %)	           0.887 (13.160 %)	           0.297 ( 6.650 %)	           0.525 (11.475 %)	           1.006 (17.642 %)
           3.513 (12.276 %)	           0.037 ( 0.568 %)	           0.426 ( 9.282 %)	           0.475 (10.044 %)	           0.005 ( 0.100 %)
           0.921 ( 3.416 %)	           1.816 (21.547 %)	           1.428 (26.948 %)	           0.038 ( 0.886 %)	           0.003 ( 0.058 %)
           4.749 (16.617 %)	           2.458 (27.956 %)	           0.002 ( 0.059 %)	           1.180 (22.525 %)	           0.005 ( 0.102 %)
           3.047 (10.634 %)	           2.194 (26.006 %)	           0.476 (10.108 %)	           0.665 (14.856 %)	           2.056 (28.230 %)
           4.091 (14.403 %)	           1.790 (22.403 %)	           0.802 (17.305 %)	           0.488 (10.942 %)	           1.433 (19.470 %)
           2.425 ( 8.916 %)	           2.519 (31.108 %)	           0.068 ( 1.593 %)	           0.435 ( 9.972 %)	           1.716 (23.583 %)
           3.130 (11.396 %)	           0.301 ( 1.461 %)	           2.082 (26.170 %)	           1.404 (24.287 %)	           1.193 (21.356 %)
           3.761 (13.063 %)	           2.647 (22.336 %)	           2.054 (33.770 %)	           1.852 (26.283 %)	           2.324 (21.456 %)
           8.758 (22.729 %)	           3.584 (27.322 %)	           0.326 ( 7.057 %)	           0.515 (11.184 %)	           2.254 (22.925 %)
           4.207 (14.004 %)	           3.060 (42.070 %)	           0.441 ( 9.616 %)	           0.545 (11.966 %)	           1.262 (22.007 %)
           3.524 (12.646 %)	           0.677 ( 9.826 %)	           0.453 ( 9.646 %)	           0.807 (16.039 %)	           1.205 (19.504 %)
           3.639 (12.251 %)	           0.966 (13.549 %)	           0.993 (22.057 %)	           0.002 ( 0.051 %)	           2.172 (29.053 %)
           3.106 (11.170 %)	           2.140 (24.945 %)	           0.891 (19.981 %)	           0.002 ( 0.051 %)	           2.271 (32.628 %)
           3.902 (13.395 %)	           0.169 ( 2.684 %)	           0.340 ( 7.438 %)	           0.074 ( 1.730 %)	           0.656 (11.606 %)
       17407.668 (-579.764 %)	           1.508 (20.617 %)	           0.765 (17.093 %)	           0.545 (10.867 %)	           0.003 ( 0.057 %)
           3.918 (13.439 %)	           0.432 ( 6.170 %)	           0.040 ( 0.939 %)	           1.635 (18.818 %)	           2.390 (34.037 %)
           2.641 ( 9.158 %)	           0.263 ( 4.174 %)	           0.024 ( 0.564 %)	           3.157 (33.154 %)	           2.000 (35.429 %)
           3.158 (11.266 %)	           3.108 (31.009 %)	           1.845 (33.605 %)	           3.734 (41.267 %)	           0.760 (13.958 %)
           1.568 ( 5.753 %)	           0.609 ( 8.738 %)	           0.683 (15.066 %)	           1.951 (35.313 %)	           0.887 (16.289 %)
           1.267 ( 4.752 %)	           0.003 ( 0.038 %)	           0.887 (19.333 %)	           0.732 (15.290 %)	           0.627 (10.915 %)
