           0.542 	           0.002 	           0.073 	           0.615 	           0.023 
           1.057 	           0.002 	           0.121 	           0.002 	           0.025 
           0.073 	           0.004 	           0.874 	           0.069 	           0.002 
           0.839 	           0.002 	           0.127 	           0.002 	           0.125 
           0.067 	           0.234 	           0.024 	           0.002 	           0.150 
           0.071 	           0.004 	           0.003 	           0.002 	           1.232 
           0.096 	           0.003 	           0.002 	           0.002 	           1.359 
           0.085 	           0.002 	           0.002 	           0.002 	           0.024 
           0.071 	           0.004 	           0.002 	           0.003 	           0.002 
           0.070 	           0.001 	           0.002 	           0.002 	           0.003 
           0.975 	           0.717 	           0.669 	           0.002 	           0.025 
           0.073 	           0.003 	           0.002 	           0.002 	           0.025 
           0.069 	           0.003 	           0.002 	           0.002 	           0.002 
           0.284 	           0.002 	           0.069 	           0.002 	           0.026 
           0.071 	           0.004 	           0.135 	           0.002 	           0.003 
           1.464 	           0.003 	           0.023 	           0.002 	           0.002 
           0.066 	           0.002 	           0.023 	           0.006 	           0.002 
           0.706 	           0.002 	           0.002 	           0.002 	           0.024 
           0.071 	           0.002 	           0.118 	           0.002 	           1.887 
           0.072 	           0.001 	           0.002 	           0.002 	           0.002 
           0.072 	           0.032 	           0.746 	           0.002 	           0.002 
           0.070 	           0.002 	           0.069 	           0.002 	           0.002 
           0.060 	           0.002 	           0.002 	           0.002 	           0.025 
           0.070 	           0.002 	           0.854 	           0.707 	           0.533 
           0.070 	           0.003 	           0.115 	           0.005 	           0.003 
           0.098 	           0.001 	           0.089 	           0.002 	           0.002 
           0.071 	           0.002 	           0.144 	           0.002 	           0.025 
           0.074 	           0.003 	           0.069 	           0.008 	           0.003 
           1.319 	           0.003 	           0.322 	           0.002 	           0.020 
           0.048 	           0.003 	           0.031 	           0.095 	           0.725 
           0.084 	           0.436 	           0.073 	           0.002 	           0.003 
           0.069 	           0.002 	           0.069 	           0.002 	           1.843 
           0.038 	           0.003 	           0.676 	           0.065 	           0.025 
           0.074 	           0.001 	           1.208 	           0.008 	           0.025 
           0.224 	           0.002 	           0.088 	           0.069 	           0.042 
           0.132 	           0.002 	           0.115 	           0.947 	           0.025 
           0.072 	           0.002 	           0.068 	           0.006 	           0.004 
           0.061 	           0.001 	           0.094 	           0.002 	           0.149 
           0.069 	           0.001 	           0.003 	           0.002 	           0.001 
           0.078 	           0.002 	           0.002 	           0.002 	           0.024 
           0.158 	           0.004 	           0.029 	           0.007 	           0.025 
