0 0	-nan
290 .00000034989981874	0.00000256505505302
295 .00000028189966153	0.00000258623542926
300 .00000038401285786	0.00000260670979297
305 .00000036395964139	0.00000262651286606
310 .00000031132851833	0.00000264567713034
315 .00000030396476647	0.00000266423300527
320 .00000028729438966	0.00000262260436434
325 .00000030752328796	0.00000234750600371
330 .00000035603841169	0.00000208074395704
335 .00000031656293825	0.00000182194495654
340 .00000041961670047	0.00000157075769134
345 .00000032507855086	0.00000132685121644
350 .00000035531180219	0.00000108991349797
355 .00000044916717284	0.00000085965008142
360 .00000041961669814	0.00000063578287089
365 .00000034489043635	0.00000041804900860
370 .00000041033770586	0.00000020619984528
375 .00000044148763189	0.00000000000000701
380 .00000039552387381	0.00000020077354740
385 .00000041614879203	0.00000039633219064
390 .00000045776367187	0.00000058687650969
395 .00000043458576591	0.00000077259692193
400 .00000044441223084	0.00000095367432387
405 .00000049167209171	0.00000113028067884
410 .00000042985125346	0.00000130257956174
415 .00000035113598803	0.00000147072666433
420 .00000042869931331	0.00000163487026448
425 .00000043981215658	0.00000179515166227
430 .00000037614689348	0.00000195170558569
435 .00000043496318087	0.00000210466056835
440 .00000047163529958	0.00000225413930140
445 .00000047833731907	0.00000240025896179
450 .00000046624077723	0.00000254313151863
455 .00000043261182144	0.00000268286401927
460 .00000052576479871	0.00000281955885685
465 .00000044463783148	0.00000295331402050
470 .00000046101022206	0.00000308422332961
475 .00000041279040089	0.00000321237665326
480 .00000046730041710	0.00000333786011601
485 .00000048607895020	0.00000346075629086
490 .00000043907944071	0.00000358114438051
495 .00000036220358085	0.00000369910038754
500 .00000043334960902	0.00000381469727444
505 .00000047287138346	0.00000392800511406
510 .00000050862630101	0.00000403909123134
515 .00000039998767373	0.00000414802033664
520 .00000052232008749	0.00000425485465145
525 .00000041271391550	0.00000435965402692
530 .00000048367482530	0.00000446247605570
535 .00000047202422203	0.00000456337617739
540 .00000040972674223	0.00000466240777831
545 .00000052215856260	0.00000475962228563
550 .00000049382990242	0.00000485506925646
555 .00000050312763786	0.00000494879646205
560 .00000044413975569	0.00000504084996754
565 .00000037539321575	0.00000513127420744
570 .00000043902480735	0.00000522011205717
575 .00000051879883002	0.00000530740490082
580 .00000046565614974	0.00000539319269544
585 .00000046819703115	0.00000547751403203
590 .00000046681549820	0.00000556040619343
595 .00000043724765258	0.00000564190520925
600 .00000048192342044	0.00000572204590815
605 .00000047667952920	0.00000580086196739
610 .00000043775214680	0.00000587838596009
615 .00000047885305945	0.00000595464940006
620 .00000044176655785	0.00000602968278455
625 .00000043212890545	0.00000610351563489
630 .00000051104833328	0.00000617617653522
635 .00000046016663118	0.00000624769316941
640 .00000043749809225	0.00000631809235618
645 .00000049679778305	0.00000638740008215
650 .00000043428861070	0.00000645564153541
655 .00000051716811648	0.00000652284113442
660 .00000050862630240	0.00000658902255768
665 .00000052774759253	0.00000665420877158
670 .00000046459596492	0.00000671842205691
675 .00000047923900645	0.00000678168403430
680 .00000057893640830	0.00000684401568851
685 .00000045219477008	0.00000690543739155
690 .00000053958616497	0.00000696596892499
695 .00000041495124213	0.00000702562950111
700 .00000061253138916	0.00000708443778328
705 .00000055624238020	0.00000714241190543
710 .00000042337766849	0.00000719956949064
715 .00000052071951450	0.00000725592766907
720 .00000063154432477	0.00000731150309501
725 .00000067138671892	0.00000736631196336
730 .00000060617107262	0.00000742037002530
735 .00000053561463653	0.00000747369260339
740 .00000049694164356	0.00000752629460611
745 .00000050999174188	0.00000757819054168
750 .00000055338541672	0.00000762939453144
755 .00000052546823258	0.00000767992032266
760 .00000055011950050	0.00000772978130084
765 .00000062630846628	0.00000777899050152
770 .00000056873668297	0.00000782756062168
775 .00000065760458695	0.00000787550403061
780 .00000055362016726	0.00000792283278045
785 .00000047039833863	0.00000796955861628
790 .00000054854381030	0.00000801569298583
795 .00000056428729424	0.00000806124704885
800 .00000061607360840	0.00000810623168608
805 .00000071649965973	0.00000815065750794
810 .00000051051010288	0.00000819453486286
815 .00000060473483015	0.00000823787384533
820 .00000060290825225	0.00000828068430363
825 .00000066398851878	0.00000832297584728
830 .00000060299793006	0.00000836475785426
835 .00000060852416283	0.00000840603947792
840 .00000073932466100	0.00000844682965368
845 .00000064466126721	0.00000848713710546
850 .00000061394186737	0.00000852697035194
855 .00000062641344545	0.00000856633771248
860 .00000067599983960	0.00000860524731303
865 .00000077969766194	0.00000864370709160
870 .00000064893700733	0.00000868172480375
875 .00000051443917283	0.00000871930802776
880 .00000062075528429	0.00000875646416968
885 .00000064311054670	0.00000879320046818
890 .00000058463450122	0.00000882952399929
895 .00000057284392385	0.00000886544168089
900 .00000067138671986	0.00000890096027714
905 .00000067779372333	0.00000893608640271
910 .00000062376588413	0.00000897082652691
915 .00000059034003787	0.00000900518697761
920 .00000061035156291	0.00000903917394515
925 .00000060045396959	0.00000907279348602
930 .00000063824397521	0.00000910605152645
935 .00000070990088240	0.00000913895386591
940 .00000059898863855	0.00000917150618048
945 .00000057644314467	0.00000920371402612
950 .00000055413497358	0.00000923558284180
955 .00000050489815214	0.00000926711795261
960 .00000064055124771	0.00000929832457267
965 .00000070680608804	0.00000932920780808
970 .00000058832856899	0.00000935977265961
975 .00000066043169226	0.00000939002402549
980 .00000067574637118	0.00000941996670396
985 .00000063358829764	0.00000944960539585
990 .00000074598524360	0.00000947894470701
995 .00000067936116515	0.00000950798915072
