0 0	-nan
7300 .00000132382183764	0.00004272460950846
7400 .00000153962560797	0.00004544644755871
7500 .00000184461801023	0.00004809570326096
7600 .00000204789011102	0.00005067524170789
7700 .00000211377164502	0.00005318777915619
7800 .00000233446426306	0.00005563589256736
7900 .00000137779769036	0.00005802202842382
8000 .00000157674148923	0.00006034851088386
8100 .00000242382415380	0.00006261754933255
8200 .00000140182361477	0.00006483124538004
8300 .00000100499669347	0.00006699159935411
8400 .00000191340375642	0.00006910051632879
8500 .00000250124468738	0.00007115981172759
8600 .00000163233552490	0.00007317121653573
8700 .00000133295158916	0.00007513638215288
8800 .00000092477509469	0.00007705688491509
8900 .00000155445341760	0.00007893423031185
9000 .00000142415359543	0.00008076985692202
9100 .00000147557515536	0.00008256514009021
9200 .00000154799319520	0.00008432139536344
9300 .00000157510075523	0.00008603988170607
9400 .00000200203964820	0.00008772180450948
9500 .00000118857946202	0.00008936831841178
9600 .00000086890331804	0.00009098052994111
9700 .00000183524959583	0.00009255949999560
9800 .00000101725270911	0.00009410624617144
9900 .00000292845457196	0.00009562174494978
10000 .00000157674153645	0.00009710693375256
10100 .00000092660627934	0.00009856271287607
10200 .00000138625589302	0.00009998994731088
10300 .00000173821799070	0.00010133021101572
10400 .00000160412910657	0.00010270338806452
10500 .00000261579241071	0.00010405040936000
10600 .00000241837407424	0.00010537201515935
10700 .00000195844893886	0.00010666891804656
10800 .00000212869526427	0.00010794180421363
10900 .00000199717490123	0.00010919133467122
11000 .00000105424357915	0.00011041814639321
11100 .00000141132340699	0.00011162285339949
11200 .00000227065308855	0.00011280604778066
11300 .00000144035766961	0.00011396830066836
11400 .00000205235176240	0.00011511016315452
11500 .00000205219654360	0.00011623216716266
11600 .00000301668015975	0.00011733482627411
11700 .00000241706176111	0.00011841863651186
11800 .00000182760636729	0.00011948407708456
11900 .00000280385592475	0.00012053161109301
12000 .00000218709309896	0.00012156168620133
12100 .00000270706891356	0.00012257473527479
12200 .00000140080686090	0.00012357117698640
12300 .00000132325542005	0.00012455141639375
12400 .00000098443802139	0.00012551584548808
12500 .00000263671877207	0.00012646484371690
12600 .00000205065207506	0.00012739877848177
12700 .00000280345207436	0.00012831800561255
12800 .00000281333921551	0.00012922286981941
12900 .00000152982174580	0.00013011370512384
13000 .00000103290266650	0.00013099083526973
13100 .00000211215807888	0.00013185457411570
13200 .00000151046601453	0.00013270522600944
13300 .00000256990128718	0.00013354308614539
13400 .00000283919756685	0.00013436844090618
13500 .00000144675932460	0.00013518156818903
13600 .00000204946487477	0.00013598273771772
13700 .00000095042586400	0.00013677221134088
13800 .00000168067813847	0.00013755024331732
13900 .00000273706815797	0.00013831708058907
14000 .00000085739866584	0.00013907296304266
14100 .00000258281148816	0.00013981812375931
14200 .00000111754511443	0.00014055278925460
14300 .00000278855259323	0.00014127717970800
14400 .00000199211973274	0.00014199150918288
14500 .00000258171695402	0.00014269598583741
14600 .00000438951455570	0.00014339081212682
14700 .00000333548138270	0.00014407618499732
14800 .00000250189148354	0.00014475229607228
14900 .00000293569549293	0.00014541933183079
15000 .00000267198356666	0.00014607747377919
15100 .00000253302629076	0.00014672689861569
15200 .00000258328615555	0.00014736777838855
15300 .00000178185423475	0.00014800028064804
15400 .00000249689288777	0.00014862456859247
15500 .00000307144670773	0.00014924080120859
15600 .00000207363030849	0.00014984913340655
15700 .00000151616000290	0.00015044971614976
15800 .00000173834320185	0.00015104269657977
15900 .00000335245519667	0.00015162821813644
16000 .00000217437736646	0.00015220642067366
16100 .00000195868521481	0.00015277744057066
16200 .00000222288547573	0.00015334141083930
16300 .00000219676643906	0.00015389846122734
16400 .00000241907647579	0.00015444871831797
16500 .00000267568260732	0.00015499230562569
16600 .00000203450520833	0.00015552934368873
16700 .00000171775597896	0.00015605995015820
16800 .00000215560662302	0.00015658423988399
16900 .00000198635150018	0.00015710232499764
17000 .00000193876369840	0.00015761431499230
17100 .00000157049515891	0.00015812031679990
17200 .00000070971111918	0.00015862043486554
17300 .00000275187391264	0.00015911477121944
17400 .00000236189703765	0.00015960342554629
17500 .00000254603794642	0.00016008649525226
17600 .00000276276549972	0.00016056407552975
17700 .00000260922419374	0.00016103625941992
17800 .00000300603849631	0.00016150313787313
17900 .00000189811389688	0.00016196479980731
18000 .00000290482112463	0.00016242133216444
18100 .00000243915838078	0.00016287281996513
18200 .00000387897411336	0.00016331934636143
18300 .00000152309963117	0.00016376099268782
18400 .00000130473693107	0.00016419783851066
18500 .00000240841437942	0.00016462996167596
18600 .00000169542090010	0.00016505743835560
18700 .00000225209934826	0.00016548034309216
18800 .00000179642502947	0.00016589874884215
18900 .00000121639718391	0.00016631272701807
19000 .00000178822288793	0.00016672234752897
19100 .00000111844515961	0.00016712767881987
19200 .00000181198120117	0.00016752878790983
19300 .00000159176302831	0.00016792574042890
19400 .00000176183944691	0.00016831860065396
19500 .00000193017160790	0.00016870743154338
19600 .00000147397826317	0.00016909229477066
19700 .00000179697390779	0.00016947325075706
19800 .00000262019610164	0.00016985035870319
19900 .00000147220477387	0.00017022367661971
20000 .00000312296537420	0.00017059326135706
20100 .00000204462724628	0.00017095916863434
20200 .00000218558220537	0.00017132145306729
20300 .00000244541537382	0.00017168016819549
20400 .00000209434347264	0.00017203536650870
20500 .00000285823158228	0.00017137480907617
20600 .00000280485196651	0.00016580229786265
20700 .00000174947790861	0.00016028362733718
20800 .00000236706817687	0.00015481802095138
20900 .00000225839799755	0.00014940471701903
21000 .00000217013875961	0.00014404296836222
