     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;        6796.603;          77.604;          81.132;          77.901;           0.698 ( 0.895 %);     97.937
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;        5646.332;          13.421;          18.304;          14.066;           0.995 ( 7.073 %);    542.405
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   498325183.615;          54.667;          58.680;          55.013;           0.696 ( 1.264 %);    138.683
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;        1009.888;          25.939;          26.535;          26.131;           0.090 ( 0.344 %);    291.972
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;    51429241.526;          77.640;          77.977;          77.672;           0.083 ( 0.106 %);     98.226
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           3.584;          14.080;          14.120;          14.096;           0.009 ( 0.063 %);    541.240
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   498036324.577;          54.750;          57.908;          55.002;           0.555 ( 1.008 %);    138.710
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          98.002;          25.896;          28.523;          26.193;           0.427 ( 1.629 %);    291.281
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           2.181;          77.617;          79.411;          77.708;           0.319 ( 0.411 %);     98.180
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;       50146.646;          14.082;          14.117;          14.096;           0.007 ( 0.050 %);    541.232
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   497747649.712;          54.752;          57.458;          55.159;           0.441 ( 0.799 %);    138.315
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;          14.804;          25.915;          26.591;          26.144;           0.100 ( 0.382 %);    291.822
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;          46.892;          77.612;          77.916;          77.649;           0.081 ( 0.105 %);     98.255
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;           9.612;          14.081;          14.114;          14.095;           0.008 ( 0.055 %);    541.287
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   497459158.892;          54.365;          57.954;          54.828;           0.652 ( 1.189 %);    139.151
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;           3.022;          25.894;          26.344;          26.133;           0.075 ( 0.288 %);    291.949
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;        4009.757;          77.611;          78.121;          77.735;           0.156 ( 0.200 %);     98.146
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;      823134.872;          14.082;          14.120;          14.094;           0.009 ( 0.063 %);    541.311
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   497170851.990;          54.365;          58.820;          55.020;           0.768 ( 1.395 %);    138.667
  naif_ite;           0.016;           0.000;           0.000;         10;      10000; 5143869519054610.000;          25.904;          26.562;          26.136;           0.097 ( 0.371 %);    291.911
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;    14836651.743;          77.602;          81.580;          77.813;           0.695 ( 0.893 %);     98.048
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;          28.728;          13.432;          14.101;          14.003;           0.211 ( 1.508 %);    544.858
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   496882728.876;          55.030;          57.548;          55.163;           0.434 ( 0.787 %);    138.306
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;   100671672.416;          25.932;          26.348;          26.141;           0.065 ( 0.250 %);    291.860
  rapi_rec;           0.016;           0.000;           0.000;         10;      10000;           1.716;          77.612;          86.743;          77.944;           1.584 ( 2.032 %);     97.883
  rapi_ite;           0.016;           0.000;           0.000;         10;      10000;    40631480.629;          14.080;          14.284;          14.102;           0.035 ( 0.249 %);    541.006
     title;             KiB;             MiB;             GiB;          n;        rep;             res;             min;             max;            mean;                 stddev (%);      MiB/s
  naif_rec;           0.016;           0.000;           0.000;         10;      10000;   496594789.425;          54.365;          55.131;          54.749;           0.343 ( 0.627 %);    139.353
  naif_ite;           0.016;           0.000;           0.000;         10;      10000;      238343.094;          26.114;          26.608;          26.161;           0.081 ( 0.310 %);    291.631
