     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  rapi_ite;         10;      10000;       1.035e+35;           7.718;           9.387;           8.095;           0.343 ( 4.239 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.662e+14;          30.850;          36.617;          31.297;           1.094 ( 3.495 %)
  naif_ite;         10;      10000;       4.973e+14;           4.249;           4.332;           4.262;           0.018 ( 0.426 %)
  rapi_rec;         10;      10000;       1.619e+14;          11.572;          11.821;          11.621;           0.061 ( 0.522 %)
  rapi_ite;         10;      10000;       8.217e+17;           7.745;           8.337;           8.143;           0.173 ( 2.120 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.423e+12;          30.848;          34.163;          31.224;           0.813 ( 2.603 %)
  naif_ite;         10;      10000;       5.763e+13;           4.248;           4.997;           4.273;           0.130 ( 3.043 %)
  rapi_rec;         10;      10000;       3.659e+13;          11.572;          12.315;          11.609;           0.145 ( 1.252 %)
  rapi_ite;         10;      10000;       2.667e+19;           7.724;           8.330;           8.262;           0.177 ( 2.138 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.280e+20;          30.848;          37.520;          31.481;           1.421 ( 4.515 %)
  naif_ite;         10;      10000;       5.619e+13;           4.248;           5.897;           4.338;           0.347 ( 7.993 %)
  rapi_rec;         10;      10000;       1.940e+20;          11.572;          12.312;          11.602;           0.132 ( 1.135 %)
  rapi_ite;         10;      10000;       9.308e+12;           7.719;           8.935;           8.199;           0.249 ( 3.043 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.197e+17;          30.847;          32.561;          31.062;           0.465 ( 1.497 %)
  naif_ite;         10;      10000;       5.087e+23;           4.248;           4.293;           4.251;           0.008 ( 0.179 %)
  rapi_rec;         10;      10000;       1.028e+30;          11.573;          11.578;          11.575;           0.001 ( 0.013 %)
  rapi_ite;         10;      10000;       1.323e+16;           7.717;          15.273;           8.487;           1.318 (15.536 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.505e+13;          30.847;          31.384;          30.897;           0.125 ( 0.405 %)
  naif_ite;         10;      10000;       3.607e+23;           4.246;           4.256;           4.249;           0.002 ( 0.046 %)
  rapi_rec;         10;      10000;       1.003e+19;          11.572;          11.579;          11.574;           0.002 ( 0.016 %)
  rapi_ite;         10;      10000;       2.569e+15;           7.719;           8.337;           8.289;           0.147 ( 1.776 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.019e+16;          30.846;          31.236;          30.871;           0.086 ( 0.277 %)
  naif_ite;         10;      10000;       1.115e+22;           4.247;           4.263;           4.249;           0.003 ( 0.065 %)
  rapi_rec;         10;      10000;       8.753e+17;          11.572;          11.581;          11.574;           0.002 ( 0.016 %)
  rapi_ite;         10;      10000;       2.711e+10;           7.717;          14.393;           8.020;           1.182 (14.742 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.388e+17;          30.855;          40.456;          33.320;           2.316 ( 6.951 %)
  naif_ite;         10;      10000;       5.674e+13;           4.635;           7.445;           4.977;           0.690 (13.861 %)
  rapi_rec;         10;      10000;       1.367e+11;          11.572;          24.774;          12.845;           3.347 (26.058 %)
  rapi_ite;         10;      10000;       3.109e+18;           7.718;          15.628;           8.445;           1.313 (15.543 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.422e+13;          30.847;          46.820;          32.234;           3.337 (10.351 %)
  naif_ite;         10;      10000;       2.563e+13;           4.248;           4.644;           4.261;           0.069 ( 1.611 %)
  rapi_rec;         10;      10000;       1.397e+13;          11.572;          12.309;          11.596;           0.128 ( 1.104 %)
  rapi_ite;         10;      10000;       7.141e+09;           7.996;           8.871;           8.122;           0.137 ( 1.682 %)
