     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  rapi_rec;         10;      10000;       6.516e+12;           9.649;          10.805;           9.882;           0.298 ( 3.016 %)
  rapi_ite;         10;      10000;       8.977e+07;           7.331;           7.604;           7.341;           0.047 ( 0.643 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.242e+28;           6.176;           6.208;           6.177;           0.006 ( 0.091 %)
  naif_ite;         10;      10000;       5.380e+15;           5.792;           5.806;           5.794;           0.002 ( 0.042 %)
  rapi_rec;         10;      10000;       7.914e+09;          10.416;          14.522;          10.542;           0.715 ( 6.778 %)
  rapi_ite;         10;      10000;       9.278e+24;           6.947;           6.992;           6.951;           0.007 ( 0.107 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.049e+15;           6.176;           6.207;           6.178;           0.005 ( 0.085 %)
  naif_ite;         10;      10000;       5.900e+08;           5.792;           5.804;           5.793;           0.002 ( 0.034 %)
  rapi_rec;         10;      10000;       7.648e+08;          10.048;          14.850;          10.329;           0.831 ( 8.047 %)
  rapi_ite;         10;      10000;       4.213e+12;           6.947;           7.345;           6.998;           0.111 ( 1.586 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.180e+18;           6.174;           6.202;           6.176;           0.005 ( 0.077 %)
  naif_ite;         10;      10000;       8.720e+09;           5.791;           5.927;           5.797;           0.024 ( 0.406 %)
  rapi_rec;         10;      10000;       5.300e+15;           9.647;          19.087;          10.342;           1.620 (15.669 %)
  rapi_ite;         10;      10000;       2.006e+25;           6.947;           7.345;           6.972;           0.095 ( 1.358 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.788e+10;           6.177;           6.208;           6.179;           0.005 ( 0.085 %)
  naif_ite;         10;      10000;       1.545e+10;           5.790;           5.805;           5.792;           0.003 ( 0.045 %)
  rapi_rec;         10;      10000;       1.752e+12;           9.647;          17.598;          10.820;           2.092 (19.330 %)
  rapi_ite;         10;      10000;       4.057e+16;           6.948;           8.007;           7.135;           0.249 ( 3.495 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       9.245e+14;           6.176;           6.931;           6.209;           0.130 ( 2.097 %)
  naif_ite;         10;      10000;       3.662e+30;           5.791;           6.606;           5.823;           0.142 ( 2.433 %)
  rapi_rec;         10;      10000;       7.947e+11;          10.416;          12.871;          10.533;           0.449 ( 4.260 %)
  rapi_ite;         10;      10000;       1.009e+08;           6.947;           7.335;           6.984;           0.112 ( 1.603 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.141e+27;           6.176;          17.113;           8.639;           3.089 (35.760 %)
  naif_ite;         10;      10000;       1.441e+09;           5.791;           8.817;           6.460;           1.183 (18.310 %)
  rapi_rec;         10;      10000;       2.567e+13;           9.647;          11.152;           9.787;           0.354 ( 3.619 %)
  rapi_ite;         10;      10000;       4.146e+16;           6.948;           7.692;           7.054;           0.198 ( 2.809 %)
