           4.347 (18.571 %)	           0.734 ( 4.191 %)	           4.022 (20.227 %)	           2.884 (15.938 %)	           2.801 (16.877 %)
           5.115 (21.995 %)	           0.793 ( 4.550 %)	           2.979 (15.477 %)	           2.786 (14.587 %)	           0.734 ( 5.044 %)
           2.455 (10.751 %)	           3.168 (16.620 %)	           3.872 (18.649 %)	           0.713 ( 4.380 %)	           1.003 ( 7.036 %)
           7.476 (30.885 %)	           2.357 (12.875 %)	           2.928 (14.634 %)	           2.525 (14.382 %)	           0.895 ( 5.825 %)
           9.635 (27.792 %)	           0.537 ( 2.995 %)	           2.871 (15.094 %)	           0.850 ( 5.061 %)	           0.686 ( 4.594 %)
           9.714 (36.450 %)	           5.234 (17.778 %)	           0.656 ( 3.811 %)	           3.345 (17.449 %)	           1.989 (12.249 %)
           4.827 (20.415 %)	           5.805 (20.537 %)	           7.377 (32.125 %)	           2.994 (15.980 %)	           2.298 (13.926 %)
           1.037 ( 4.635 %)	           0.516 ( 2.911 %)	           1.981 (11.096 %)	           1.540 ( 8.829 %)	           1.378 ( 8.953 %)
           1.166 ( 5.308 %)	           0.961 ( 5.334 %)	           2.439 (12.959 %)	           2.916 (16.438 %)	           1.383 ( 9.072 %)
           1.755 ( 7.854 %)	           2.704 (13.958 %)	           4.395 (21.875 %)	           2.474 (13.978 %)	           0.950 ( 6.468 %)
           7.337 (29.747 %)	           2.385 (12.748 %)	           4.303 (20.939 %)	           2.528 (14.320 %)	           0.948 ( 6.045 %)
           3.937 (16.552 %)	           0.692 ( 3.878 %)	           3.461 (18.058 %)	           2.888 (15.412 %)	           1.431 ( 9.119 %)
           6.621 (26.974 %)	           2.481 (13.069 %)	           2.716 (14.457 %)	           0.151 ( 0.941 %)	           3.320 (19.161 %)
           0.050 ( 0.238 %)	           2.726 (14.705 %)	           3.146 (15.762 %)	           3.246 (17.587 %)	           2.200 (14.856 %)
           1.841 ( 8.556 %)	           2.516 (12.912 %)	           1.529 ( 8.667 %)	           1.429 ( 8.641 %)	           0.461 ( 3.023 %)
           9.535 (31.574 %)	           3.481 (18.337 %)	           2.877 (14.606 %)	           0.710 ( 4.213 %)	           0.399 ( 2.662 %)
           7.234 (25.324 %)	           0.539 ( 3.020 %)	           4.072 (19.599 %)	           4.125 (18.300 %)	           4.195 (19.783 %)
           3.683 (16.838 %)	           1.374 ( 7.608 %)	           4.431 (20.382 %)	           2.750 (15.658 %)	           4.612 (20.421 %)
           4.142 (18.191 %)	           0.229 ( 1.325 %)	           2.652 (13.474 %)	           1.270 ( 7.673 %)	           1.471 ( 9.257 %)
           0.279 ( 1.327 %)	           2.679 (13.903 %)	           1.212 ( 6.799 %)	           2.381 (13.168 %)	           2.084 (12.419 %)
           3.902 (17.231 %)	           2.725 (14.886 %)	           1.829 (10.051 %)	           0.746 ( 4.426 %)	           1.710 (10.502 %)
