     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_ite;         10;      10000;       3.112e+15;           8.023;          14.180;           9.982;           1.318 (13.205 %)
  rapi_rec;         10;      10000;       3.291e+18;          13.174;          29.361;          17.521;           4.511 (25.747 %)
  rapi_ite;         10;      10000;       8.665e+19;           6.948;           8.685;           7.629;           0.463 ( 6.070 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.329e+12;           5.793;          12.234;           7.715;           2.185 (28.328 %)
  naif_ite;         10;      10000;       2.827e+22;           5.021;          11.314;           5.796;           1.236 (21.329 %)
  rapi_rec;         10;      10000;       1.742e+22;          13.504;          19.524;          15.500;           1.471 ( 9.492 %)
  rapi_ite;         10;      10000;       6.711e+14;           7.334;          12.151;           8.379;           0.957 (11.426 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       7.745e+14;           5.793;          16.383;           8.151;           2.731 (33.500 %)
  naif_ite;         10;      10000;       6.479e+28;           5.022;          12.206;           6.716;           1.531 (22.792 %)
  rapi_rec;         10;      10000;       3.284e+18;          14.142;          16.507;          15.062;           0.495 ( 3.287 %)
  rapi_ite;         10;      10000;       6.023e+20;           6.952;          11.501;           8.200;           0.926 (11.290 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.406e+10;           5.793;          11.737;           6.489;           1.294 (19.939 %)
  naif_ite;         10;      10000;       3.825e+32;           5.061;          10.625;           5.789;           1.006 (17.375 %)
  rapi_rec;         10;      10000;       1.377e+10;          13.116;          17.493;          14.322;           0.979 ( 6.833 %)
  rapi_ite;         10;      10000;       4.123e+10;           7.335;          12.403;           9.210;           1.738 (18.869 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.944e+15;           5.792;           8.891;           6.839;           1.016 (14.857 %)
  naif_ite;         10;      10000;       9.605e+14;           5.021;           8.638;           5.997;           0.929 (15.495 %)
  rapi_rec;         10;      10000;       3.075e+15;          13.119;          20.796;          16.150;           2.179 (13.494 %)
  rapi_ite;         10;      10000;       4.125e+18;           7.332;           7.653;           7.346;           0.055 ( 0.753 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.514e+13;           5.796;          22.869;           8.807;           3.256 (36.969 %)
  naif_ite;         10;      10000;       2.313e+20;           5.021;          11.646;           6.906;           1.916 (27.751 %)
  rapi_rec;         10;      10000;       1.881e+14;          13.119;          25.197;          15.829;           2.587 (16.347 %)
  rapi_ite;         10;      10000;       1.589e+24;           7.335;           8.387;           7.398;           0.245 ( 3.318 %)
