           1.042 ( 3.901 %)	           0.941 (13.097 %)	           0.003 ( 0.081 %)	           2.497 (44.942 %)	           2.527 (35.999 %)
           3.602 (12.555 %)	           0.511 ( 7.235 %)	           0.495 (12.882 %)	           1.996 (24.265 %)	           0.226 ( 4.079 %)
           3.536 (12.301 %)	           1.596 (18.728 %)	           1.046 (22.910 %)	           0.887 (20.097 %)	           1.222 (18.323 %)
           2.920 (10.594 %)	           0.360 ( 5.217 %)	           0.004 ( 0.094 %)	           2.290 (39.640 %)	           0.003 ( 0.047 %)
           1.347 ( 4.927 %)	           0.762 (10.783 %)	           0.536 (13.612 %)	           0.419 (11.080 %)	           2.620 (30.282 %)
           2.571 ( 9.298 %)	           2.302 (28.154 %)	           0.002 ( 0.071 %)	           0.183 ( 5.001 %)	           1.552 (15.735 %)
           2.556 ( 9.431 %)	           0.450 ( 6.680 %)	           2.104 (36.605 %)	           0.439 (11.112 %)	           0.808 (14.335 %)
           2.309 ( 8.287 %)	           1.961 (25.724 %)	           0.410 (10.998 %)	           1.013 (24.892 %)	           1.382 (20.963 %)
           4.367 (14.908 %)	           0.790 (11.710 %)	           0.002 ( 0.056 %)	           0.207 ( 5.816 %)	           1.444 (21.477 %)
           3.494 (12.096 %)	           3.405 (36.569 %)	           0.034 ( 0.982 %)	           0.003 ( 0.073 %)	           0.002 ( 0.046 %)
           3.542 (12.833 %)	           0.034 ( 0.524 %)	           0.760 (19.366 %)	           0.476 (12.285 %)	           1.159 (17.568 %)
           0.892 ( 3.378 %)	           0.490 ( 6.945 %)	           1.398 (25.258 %)	           0.601 (15.770 %)	           2.230 (27.350 %)
           0.727 ( 2.726 %)	           1.817 (18.828 %)	           2.259 (34.446 %)	           0.464 (12.102 %)	           1.181 (18.071 %)
           4.061 (13.944 %)	           0.748 (10.535 %)	           0.435 (11.835 %)	           0.003 ( 0.080 %)	           1.278 (22.373 %)
           3.956 (13.917 %)	           0.003 ( 0.047 %)	           0.004 ( 0.109 %)	           0.414 (11.282 %)	           1.395 (21.984 %)
           2.780 ( 9.920 %)	           0.615 ( 8.648 %)	           0.921 (22.202 %)	           0.483 (12.826 %)	           1.206 (19.661 %)
           4.544 (15.817 %)	           3.085 (24.423 %)	           1.597 (26.888 %)	           1.744 (35.209 %)	           3.741 (41.303 %)
           1.509 ( 5.510 %)	           2.738 (21.244 %)	           1.957 (24.518 %)	           1.502 (30.517 %)	           0.003 ( 0.057 %)
       17408.050 (-579.839 %)	           0.454 ( 6.563 %)	           1.759 (37.475 %)	           1.055 (25.265 %)	           1.776 (19.702 %)
           5.467 (18.707 %)	           0.414 ( 5.958 %)	           1.936 (31.394 %)	           0.002 ( 0.052 %)	           0.885 (14.069 %)
           3.006 (10.801 %)	           1.133 (15.686 %)	           1.933 (39.192 %)	           1.319 (29.789 %)	           0.797 (12.686 %)
           1.797 ( 6.709 %)	           0.531 ( 7.547 %)	           0.003 ( 0.077 %)	           0.003 ( 0.074 %)	           0.588 ( 9.266 %)
           1.265 ( 4.748 %)	           1.644 (21.637 %)	           0.003 ( 0.084 %)	           1.178 (26.941 %)	           0.631 (11.335 %)
           1.252 ( 4.720 %)	           0.417 ( 6.125 %)	           1.986 (32.993 %)	           1.145 (28.089 %)	           1.563 (24.326 %)
           5.120 (18.093 %)	           1.938 (25.198 %)	           0.033 ( 0.934 %)	           1.539 (28.978 %)	           2.321 (32.501 %)
           3.404 (12.249 %)	           0.005 ( 0.078 %)	           0.003 ( 0.086 %)	           0.539 (14.647 %)	           4.231 (37.257 %)
           8.475 (18.644 %)	           0.820 (11.840 %)	           2.062 (48.408 %)	           1.355 (24.105 %)	           1.180 (18.561 %)
           3.877 (13.466 %)	           1.188 (16.209 %)	           2.369 (32.424 %)	           1.893 (24.872 %)	           3.031 (21.256 %)
           3.828 (13.171 %)	           0.003 ( 0.045 %)	           2.348 (36.333 %)	           0.002 ( 0.064 %)	           3.242 (30.834 %)
           4.611 (14.901 %)	           2.125 (25.302 %)	           0.568 (14.475 %)	           2.372 (49.979 %)	           4.364 (54.397 %)
           3.325 (12.025 %)	           0.394 ( 5.704 %)	           0.507 (12.980 %)	           0.987 (22.809 %)	           1.237 (18.385 %)
           3.450 (12.245 %)	           0.367 ( 5.423 %)	           0.279 ( 7.663 %)	           1.971 (35.762 %)	           1.186 (17.279 %)
