     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  rapi_rec;         10;      10000;       3.653e+22;          16.844;          28.717;          19.045;           3.162 (16.603 %)
  rapi_ite;         10;      10000;       2.000e+23;           7.721;          16.755;           8.735;           1.587 (18.174 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.893e+12;      -99966.668;          38.922;       -2996.534;       17407.844 (-580.933 %)
  naif_ite;         10;      10000;       1.656e+21;           3.498;           6.105;           4.035;           0.654 (16.215 %)
  rapi_rec;         10;      10000;       3.934e+11;          17.344;          25.140;          19.184;           2.095 (10.919 %)
  rapi_ite;         10;      10000;       6.154e+17;           7.723;          16.530;          11.583;           2.748 (23.721 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       3.990e+18;          32.013;          55.630;          41.276;           6.797 (16.467 %)
  naif_ite;         10;      10000;       1.648e+30;           3.497;           8.379;           4.713;           1.468 (31.155 %)
  rapi_rec;         10;      10000;       2.077e+26;          17.051;          31.368;          19.941;           3.317 (16.632 %)
  rapi_ite;         10;      10000;       2.051e+18;           7.809;           8.713;           7.915;           0.218 ( 2.755 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       6.064e+10;          32.009;          39.938;          32.869;           1.859 ( 5.655 %)
  naif_ite;         10;      10000;       7.453e+10;           3.862;           3.883;           3.866;           0.003 ( 0.086 %)
  rapi_rec;         10;      10000;       3.319e+21;          16.844;          18.970;          17.022;           0.365 ( 2.143 %)
  rapi_ite;         10;      10000;       7.508e+23;           7.721;          28.783;          10.637;           5.639 (53.015 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       4.783e+24;          32.483;          44.844;          34.689;           3.138 ( 9.045 %)
  naif_ite;         10;      10000;       5.498e+10;           3.498;           4.994;           3.654;           0.323 ( 8.851 %)
  rapi_rec;         10;      10000;       7.059e+07;          16.587;          22.843;          17.789;           1.551 ( 8.718 %)
  rapi_ite;         10;      10000;       6.510e+19;           7.719;           8.113;           7.740;           0.071 ( 0.913 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       8.506e+11;          32.514;          39.533;          34.025;           1.514 ( 4.451 %)
  naif_ite;         10;      10000;       1.260e+12;           3.497;           7.453;           4.148;           1.134 (27.340 %)
  rapi_rec;         10;      10000;       1.500e+13;          16.927;          30.616;          19.364;           3.293 (17.003 %)
  rapi_ite;         10;      10000;       6.893e+11;           7.723;          17.061;           9.438;           2.063 (21.857 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.569e+13;          32.242;          52.998;          36.039;           5.204 (14.441 %)
  naif_ite;         10;      10000;       1.626e+32;           3.495;           3.511;           3.499;           0.003 ( 0.074 %)
  rapi_rec;         10;      10000;       2.695e+15;          16.972;          26.806;          18.673;           2.608 (13.966 %)
  rapi_ite;         10;      10000;       1.342e+22;           7.719;           8.341;           7.772;           0.162 ( 2.085 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       2.757e+12;          32.719;          53.567;          36.111;           5.496 (15.219 %)
  naif_ite;         10;      10000;       2.740e+16;           3.496;           7.149;           3.933;           0.703 (17.870 %)
  rapi_rec;         10;      10000;       6.888e+24;          16.849;          22.191;          17.578;           1.186 ( 6.748 %)
  rapi_ite;         10;      10000;       2.885e+20;           7.721;           8.343;           7.856;           0.201 ( 2.561 %)
     title;      power;       loop;    results mean;             min;             max;            mean;                 stddev (%)
  naif_rec;         10;      10000;       1.075e+11;          32.009;          46.983;          34.112;           3.021 ( 8.857 %)
  naif_ite;         10;      10000;       1.974e+13;           3.499;          10.269;           5.183;           1.559 (30.074 %)
  rapi_rec;         10;      10000;       2.569e+12;          16.925;          19.141;          17.847;           0.553 ( 3.098 %)
  rapi_ite;         10;      10000;       2.587e+27;           7.721;           9.489;           8.159;           0.495 ( 6.068 %)
